date,year,quarter,month,week,iso_week,day,year_month,weekday,weekday_name,karkausvuosi,no_days_month,fixed_nat_holidays_fin,midsummer_eve,midsummer,sundays_in_month,sat_in_month,weekend_days_in_month,a,b,c,d,e,f,g,easter_day,good_friday,second_e_day,ascension_day,arkipyha,arkipaiva,bankholidays_in_month,workdays_month,first_day_month,last_day_month
2014-01-01,2014,1,1,1,1,1,2014-1,4,Wednesday,FALSE,31,1,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,1,0,2,21,T,F
2014-01-02,2014,1,1,1,1,2,2014-1,5,Thursday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-03,2014,1,1,1,1,3,2014-1,6,Friday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-04,2014,1,1,1,1,4,2014-1,7,Saturday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-05,2014,1,1,1,1,5,2014-1,1,Sunday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-06,2014,1,1,2,2,6,2014-1,2,Monday,FALSE,31,1,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,1,0,2,21,F,F
2014-01-07,2014,1,1,2,2,7,2014-1,3,Tuesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-08,2014,1,1,2,2,8,2014-1,4,Wednesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-09,2014,1,1,2,2,9,2014-1,5,Thursday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-10,2014,1,1,2,2,10,2014-1,6,Friday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-11,2014,1,1,2,2,11,2014-1,7,Saturday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-12,2014,1,1,2,2,12,2014-1,1,Sunday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-13,2014,1,1,3,3,13,2014-1,2,Monday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-14,2014,1,1,3,3,14,2014-1,3,Tuesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-15,2014,1,1,3,3,15,2014-1,4,Wednesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-16,2014,1,1,3,3,16,2014-1,5,Thursday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-17,2014,1,1,3,3,17,2014-1,6,Friday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-18,2014,1,1,3,3,18,2014-1,7,Saturday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-19,2014,1,1,3,3,19,2014-1,1,Sunday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-20,2014,1,1,4,4,20,2014-1,2,Monday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-21,2014,1,1,4,4,21,2014-1,3,Tuesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-22,2014,1,1,4,4,22,2014-1,4,Wednesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-23,2014,1,1,4,4,23,2014-1,5,Thursday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-24,2014,1,1,4,4,24,2014-1,6,Friday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-25,2014,1,1,4,4,25,2014-1,7,Saturday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-26,2014,1,1,4,4,26,2014-1,1,Sunday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,2,21,F,F
2014-01-27,2014,1,1,5,5,27,2014-1,2,Monday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-28,2014,1,1,5,5,28,2014-1,3,Tuesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-29,2014,1,1,5,5,29,2014-1,4,Wednesday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-30,2014,1,1,5,5,30,2014-1,5,Thursday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,F
2014-01-31,2014,1,1,5,5,31,2014-1,6,Friday,FALSE,31,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,2,21,F,T
2014-02-01,2014,1,2,5,5,1,2014-2,7,Saturday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,T,F
2014-02-02,2014,1,2,5,5,2,2014-2,1,Sunday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-03,2014,1,2,6,6,3,2014-2,2,Monday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-04,2014,1,2,6,6,4,2014-2,3,Tuesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-05,2014,1,2,6,6,5,2014-2,4,Wednesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-06,2014,1,2,6,6,6,2014-2,5,Thursday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-07,2014,1,2,6,6,7,2014-2,6,Friday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-08,2014,1,2,6,6,8,2014-2,7,Saturday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-09,2014,1,2,6,6,9,2014-2,1,Sunday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-10,2014,1,2,7,7,10,2014-2,2,Monday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-11,2014,1,2,7,7,11,2014-2,3,Tuesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-12,2014,1,2,7,7,12,2014-2,4,Wednesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-13,2014,1,2,7,7,13,2014-2,5,Thursday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-14,2014,1,2,7,7,14,2014-2,6,Friday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-15,2014,1,2,7,7,15,2014-2,7,Saturday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-16,2014,1,2,7,7,16,2014-2,1,Sunday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-17,2014,1,2,8,8,17,2014-2,2,Monday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-18,2014,1,2,8,8,18,2014-2,3,Tuesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-19,2014,1,2,8,8,19,2014-2,4,Wednesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-20,2014,1,2,8,8,20,2014-2,5,Thursday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-21,2014,1,2,8,8,21,2014-2,6,Friday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-22,2014,1,2,8,8,22,2014-2,7,Saturday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-23,2014,1,2,8,8,23,2014-2,1,Sunday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,0,0,20,F,F
2014-02-24,2014,1,2,9,9,24,2014-2,2,Monday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-25,2014,1,2,9,9,25,2014-2,3,Tuesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-26,2014,1,2,9,9,26,2014-2,4,Wednesday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-27,2014,1,2,9,9,27,2014-2,5,Thursday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,F
2014-02-28,2014,1,2,9,9,28,2014-2,6,Friday,FALSE,28,0,0,0,4,4,8,0,2,5,24,5,24,5,0,0,0,0,0,1,0,20,F,T
2014-03-01,2014,1,3,9,9,1,2014-3,7,Saturday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,T,F
2014-03-02,2014,1,3,9,9,2,2014-3,1,Sunday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,F,F
2014-03-03,2014,1,3,10,10,3,2014-3,2,Monday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-04,2014,1,3,10,10,4,2014-3,3,Tuesday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-05,2014,1,3,10,10,5,2014-3,4,Wednesday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-06,2014,1,3,10,10,6,2014-3,5,Thursday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-07,2014,1,3,10,10,7,2014-3,6,Friday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-08,2014,1,3,10,10,8,2014-3,7,Saturday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,F,F
2014-03-09,2014,1,3,10,10,9,2014-3,1,Sunday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,F,F
2014-03-10,2014,1,3,11,11,10,2014-3,2,Monday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-11,2014,1,3,11,11,11,2014-3,3,Tuesday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-12,2014,1,3,11,11,12,2014-3,4,Wednesday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-13,2014,1,3,11,11,13,2014-3,5,Thursday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-14,2014,1,3,11,11,14,2014-3,6,Friday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-15,2014,1,3,11,11,15,2014-3,7,Saturday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,F,F
2014-03-16,2014,1,3,11,11,16,2014-3,1,Sunday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,F,F
2014-03-17,2014,1,3,12,12,17,2014-3,2,Monday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-18,2014,1,3,12,12,18,2014-3,3,Tuesday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-19,2014,1,3,12,12,19,2014-3,4,Wednesday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-20,2014,1,3,12,12,20,2014-3,5,Thursday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-21,2014,1,3,12,12,21,2014-3,6,Friday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,1,0,21,F,F
2014-03-22,2014,1,3,12,12,22,2014-3,7,Saturday,FALSE,31,0,0,0,5,5,10,0,2,5,24,5,24,5,0,0,0,0,0,0,0,21,F,F
